price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_living,no_of_kitchen,facing,road_size
"Rs Rs 8,000,000/Lakh Per Anna","location: Kathmandu, Kalimati,Tankeshwor",21.3 Anna,"Best property on Kalimati, Tankeshwor area is now available for Sale in core place of Busy Kalimati, Tankeshwor Area.",4,4,2,1,SOUTH,13 Feets
Rs 4.2 Crore,"location: Kathmandu, Ramkot, Padma Colony",0-7-2-0,Bungalow concept Residential house at the prime location of Padma Colony is available for Sale now.,9,6,3,2,EAST,16 feets
Rs 24500000,"location: Kathmandu, Gongabu",2.2 Anna,"2.5 storey house located in the Gongabu area is now sale with the road access 13 ft's also with road type gravel. The property lies near to the very facilitated area where we can have nearby educational fields, banks, markets, public transportation as well.",6,3,3,2,NORTH,12 Feet
"Rs Rs 68,000,000/-",location: Lalitpur/ Sangam Basti,6 Anna,"Beautiful House located in the Sangam Basti, Lalitpur is now on sale. The property is built with semi-furnished concept used for residential purpose facing towards North direction with the land size of 6 Anna. The more details of the property are as given below:",5,4,1,1,NORTH,13 Feet
"Rs Npr 41,500,000/-","location: Kathmandu, Bansbari",4 Anna,The Residential House on Sale made in 4 Anna land size facing towards South-East with the parking space in it.,7,5,2,2,SOUTH-EAST,13 Feets
"Rs Rs 80,000,000/-","location: Kathmandu, Budhanilkantha, Golfutar, Bansbari",16 Anna,Semi-Bungalow Concept with property location in middle of Bansbariand Golfutar Just behind DI SKIN Healt Care facing to South East available for Sale on Gharsansar.,11,7,3,1,EAST-SOUTH,16 feets
"Rs Rs 29,900,000/-",location: Kathmandu/ Nagarjung/ Sanobharyang,0.3.0.1 Anna,Brand New House facing towards North direction having road type concrete of access 12 ft's that have proper facilities of everything we want. Some of the features are as given below:,7,4,2,2,NORTH,12 Feets
Rs 37500000,"location: Kathmandu, Nagarjung, Halchowk",3.3.2 Anna,Internally and Externally very beautiful house that is located in the very facilitated area inside 200 meter from Halchowk ringroad is now on sale. The features of the proeprty are as given below:,8,4,2,2,NORTH-WEST,13 Feets
Rs 325000000,"location: Kathmandu, Nagarjung, Bafal",3 Anna,"The House that is on sale located in the very facilitated area where we can find the facilities of the water, Drainage, Electricity, Academic fields, etc. The location of the property is in Bafal facing towards South direction with the parking space and the house is made with Bungalow concept as well.",5,3,1,2,SOUTH,14 Feet
Rs 28500000,"location: Kathmandu, Dallu",3.2 Anna,"The house located in the dallu area is now on sale that is near to the public transportation, swoyambhu temple, road access of 20 ft's with the black topped road and shutter space also available in this property.",4,3,2,2,SOUTH-WEST,20 Feets
Rs 30 LAKH PER ANNA,"location: Kathmandu, Tarkeshwor, Lolang",0-12-3-2,"12 Anna plain land available for sale in Kathmandu, Tarkeshwor, Kabresthali, Lonang",4,3,2,2,South-EAST,13 Feets
Rs 60000000,"location: KATHMANDU, NAGARJUNG, RANIBAN",10.1.2 Anna,"A beautiful house in the Nagarjung area is now on sale. This property is near to the Radha Krishna temple with the very awesome features as it includes fall ceiling, modular kicthen, full furnishing, solar pannel, water well, granite, jacquire equipments used in bathroom and it is near to the academic fields, etc.",6,7,3,3,WEST / NORTH,14 Feet
"Rs Rs 41,500,000","location: Kathmandu, Thulo Bharayang",0.4.1.1 Anna,"Brand New Thulo Bharayand 98% Complete ready to move house on Sale on location of Kathmandu, Thulo Bharayang.",7,6,1,3,East- North,13 Feets
Rs 42000000,location: Kathmandu / Sitapaila / Milan Tole,8 Anna,Sitapaila house is a spacious & well-built property situated on prime location having road concrete and 13 ft's road size with a very nearby ring road with 200 m distance.,8,5,2,3,EAST,13 Feets
Rs 31500000,location: KATHMANDU / NAGARJUNG / SANOBHARYANG,3 Anna," The house located in the Sanobharyang area is now for sale with the every facilities including academic fields,banking sectors, walking distance of 3 to 5 minutes for public transportation and many more thus this house can be dream house.",6,3,2,2,NORTH,13 Feets
Rs 26500000,"location: KATHMANDU, RADHA KRISHNA",3 Anna,The House near to the Radha Krishna mandir is now on sale. The more features of the property are as given below:,5,3,1,1,SOUTH,13 Feets
"Rs Rs 37,500,000","location: Kathmandu, Sano Bhanrayang",0.5.2.0,"Due to foreign settlement whole family has to shift to foreign and this beautiful spacious house at the heart of Kathmandu, Sano Bharayang is listed for Sale  Now.",6,5,2,2,South-West,13 Feets
Rs 22500000,"location: KATHMANDU,BUDDHA CHOWK, GANESH CHOWK",0.5.2.0,"Buddha chowk house on sale with the road size 12 ft, land area 2.3 Anna near to the Ganesh temple, Markets, Marts, Savyata school, next to children as well with the facilities that necessary in our daily life.",6,5,2,2,South-West,13 Feets
Rs 60 LAKH PER ANNA ACCORDING TO THE LAND,location: KATHMANDU / RANIBAN / TINGHARE,7 Aana,"A House is now on sale at location Raniban, Tinghare, Kathmandu. ",6,5,2,2,EAST,22 FEETS ROAD
"Rs Rs 26,000,000","location: Kathmandu, Sano bharayang",3.1 Anna,"Built on 2359 sq.ft standing property on Kathmandu, Sano Bharayang, Tin Ghare, Nagarjung Ward-2 house is now listed on for sale at reasonable price.",5,4,2,2,WEST,13 Feets
Rs 29500000,"location: KATHMANDU, CHAMATI",2.5 Anna,"A very good piece of property for sale in Chamati 2.2 land Anna with different amenities, road type is black topped, reserve tank is 10000 litres, parking space, road access 20 fts near to academic fields, hospitals, park, temple, and many more in the area.",8,3,2,1,EAST,20 Feets
"Rs Rs33,500,000","location: Kathmandu, Swoyambhu, Karkhana chowk",4 Anna,"Well built 4 Bedroom, Hall, Living room, Kitchen in semi furnished condition 4 Anna land House available for Sale on Kathmandu, Swoyambhu, Karkhana chowk for those buyer who wants to stay near to Swoyambhunath temple area.",4,5,2,1,NORTH,16 feets
Rs 30000000,"location: KATHMANDU, NAGARJUNG, RANIBAN",4 Anna,"This beautiful house in Raniban is the perfect location for you to buy a house in that area. It's just a few minutes away from the ring-road and it has excellent infrastructure. There are many facilities available here, including schools, hospitals, shopping centers and restaurants.",4,1,2,2,East,13 Feets
Rs 38500000,"location: KATHMANDU, SITAPAILA",4 Anna,"We have listed new property in the location Kathmandu, Sitapaila-4 near to the Jyoti Academy school for the residential purpose is now on sale. The property is faced towards west direction with road access 10 ft with granite flooring and parking space as well.",4,1,2,2,East,13 Feets
Rs 27500000,"location: IMADOL, LALITPUR",3 Anna,Lalitpur house is now on sale.Contact Gharsansar Real Estate for more information & if you want this property check the given below information,5,3,1,1,EAST,13 Feets
Rs 27500000,"location: LALITPUR, IMADOL",3 Anna,"The beautiful house in the location Imadol is now for sale of 3 Anna with facilities of different things such as water, electricity, solar pannel, parking space, fall ceiling and we can find nearby local vechicle with the price 2.75 CR.",6,5,1,1,NORTH,13 Feets
Rs 34500000,"location: LALITPUR, IMADOL",5 Anna,The beautiful property in the Lalitpur location is now on sale with the facilities of every aspects we need for surviving are available in Imadol area with the land Anna 5.,7,7,2,2,EAST,13 Feets
Rs 49000000,"location: KATHMANDU, SANOBHARYANG",4.2 Anna,The beautiful residential property located in SanoBharyang having road acccess 20 ft. with the facilities of parking space facing towards South/East direction is now on sale.,5,2,2,1,SOUTH-EAST,20 Feets
Rs 27000000,"location: KATHMANDU, CHAMATI",2.5 Anna,"The residential house for sale in the location Chamati, Katmandu that has land area of 2.5 Aana which is perfect for the family that is also faced towards south direction so there is enough sunlight in the house thus, the house has beautiful interior and provides parking space for car and bikes with the road access of 20 feets black topped. ",5,3,1,2,SOUTH,20 Feets
Rs 25000000,"location: KATHMANDU, SORAKHUTTE",2.5 Anna,"A residential property facing towards east direction with land 2.3 Anna in the location Sorakhutte-16 with facilities of water, electricity, drainage, solar pannel, nearby market, schools and inside ringroad. Thus, this property is now on sale for the residential purpose.",5,3,1,2,SOUTH,20 Feets
Rs 275,location: Imadol 4 bojepokhari lalitpur nepal,2.5 Anna,"🏘𝐅𝐎𝐑 𝐒𝐀𝐋𝐄 : Brand new House at Imadol Bojepokhari Lalitpur 1.5 km from Gwarku Ring road (Balkumari kharibot also 1.5km ) and 400m away from Imadol Krishna parnami mandir.
   🏘🏘 3 आना 2 पैसा 1 दाम  जग्गा मा निर्मित २.५ तले  आकर्षक घर तुरुन्त बिक्रीमा!!!​🏘🏘",5,3,1,2,SOUTH,20 Feets
"Rs Rs 38,000,000","location: Kathmandu, Bhaisepati",5 Anna,"Brand New spacious beautiful resident on Bhaisepati, Near Gokul Awas, Wai Wai Chowk is now available for Sale Now you will love it, call us.",7,7,2,2,SOUTH-WEST,13 Feets
"Rs Rs 390,00,000","location: Kathmandu, Sitapaila-15",0.4.2.0,Sitapaila Residential house near to ringroad is now available both for Rent and Sale.,8,5,2,2,SOUTH,13 Feets
Rs 15500000,"location: KATHMANDU, LAZIMPAT",3 Paisa,"The commercial property lies under a very facilitated area from public transportation to many others facilities such as academic fields, water, wifi cables, drainage, road access, etc.Thus, this property is now on sale for living & commercial purpose also.",8,2,2,2,EAST/WEST,22 meters
Rs Rs 84 Lakh/Anna( Negotiable),"location: KATHMANDU, BANESHWOR",3 Paisa,"A property of 5.3 Anna in a Kathmandu,Baneshwor area of one floor is now sale.",8,2,2,2,EAST/WEST,22 meters
"Rs 14,500,000","location: Kathmandu, Budhanilkantha, Chyasindol",2.2 Anna,"Under 1.5 Crore Budget reisdential house at kathmandu, Budhanilkantha is now availble for sale to all the buyers.",3,2,2,2,South,13 Feet
"Rs Rs 127,500,000","location: Kathmandu, Dhapasi Height",14 Anna,"Luxuriously built in Semi-furnished 14 Anna strongly built Mansion on the height of Dhapasi Height, Kathmandu is now available of market now for Sale to only Budgeted buyers.",2,2,3,1,East-North,14 Feet
"Rs 21,500,000/-","location: Lalitpur, Hattiban",3 Anna,"Ready to move condition fresh south facing brand new surki desgin home for sale at lalitpur, Hattiban.",5,3,1,1,SOUTH,13 Feets
Rs 65000000,"location: Kathmandu, Sorakhutee, Kaldhara",7 Anna,"Located Behind NCC Bank at Kaldhara, sorkhutee, Nayabazar area with 7 Anna land and building structure facing towards South is available on for sale.",9,3,1,3,South-EAST,8 Feets
Rs PRICE : 3200000,location: BIRATNAGAR RADHAKRISHNA MANDIR EAST,7 Anna,,9,3,1,3,South-EAST,8 Feets
"Rs Rs 28,500,000","location: Kathmandu, Sitapaila",3.5 Anna,Semi-furnished Ready to move house under final stage and now available for all the first buyers on Gharsansar Real Estate.,4,4,1,1,SOUTH-EAST,14 Feet
Rs 3.75-4.6 Cr,"location: Kathmandu,Bafal,Tahachal",3.5 - 4 Anna,Brand New Luxury 5 Homes are on final stage for Sale.,4,4,1,1,SOUTH,14 Feets
Rs 47000000,"location: Kathmandu, Dallu",5 Anna,5 Anna spacious Residential house at Peaceful location of Swoyambhunath Temple.,12,5,2,4,SOUTH,12-13 Feets
Rs NRs. 6000000,location: BIRATNAGAR TRIMURTI CHOWK,5 Anna,,12,5,2,4,SOUTH,12-13 Feets
"Rs 25,500,000","location: Kathmandu,Nagarjung, Sano bharayang",0.2.3.0 Anna,"This is the perfect home for your family. The layout is as shown and the pictures are real, The property has been well maintained and ideally situated. This opportunity will disappear very soon so don't miss it.",4,3,2,2,NORTH,13 Feets
"Rs 32,000,000","location: Kathmandu, Nagarjung, Sano Bharayang",03.0.01,"Stock-ready home on Sano Bharayang, brand new. Semi finished kitchen with granite counter tops and , stainless steel sink and more. All electrical work has been completed. Bonus family rooms and a study/media room with 10' ceiling height and walk through access to the roof top terrace on the 2nd level of your house is now listed for Sale.",6,4,2,2,EAST,13 Feets
Rs 26500000,"location: KATHMANDU, CHANDRAGIRI",4 Anna,"The beautiful house located in the Chandragiri-6 Nagarpalika having the faclities of water supply, drainage,near to the public transportation and highway road, market, schools,etc with the land area of 4 anna.",6,3,1,1,EAST,13 Feets
Rs 23500000,"location: KATHMANDU, CHANDRAGIRI",0.5.0.1 Anna,"The Chandragiri Nagarpalika-6 house facing towards east direction facilitated with daily water supply, drainage, wifi, cables, electricity poles, parking space, etc having 5 anna 2 dam land area is now on sale.",6,3,2,2,EAST,13 Feets
Rs 18000000,location: BIRATNAGAR 02 WEST OF EAST OF TINPAINI,0.5.0.1 Anna,HOUSE PRICE l: 1 CRORE 80 LAKH ,6,3,2,2,EAST,13 Feets
"Rs 30,000,000","location: KATHMANDU, BAFAL",3 Anna," The house made in 3 anna land area with facing towards East/South direction with the beautiful design in it considering modular kitchen, parqueting floor, road access 12 ft, near to the public transportation and proper facilties of water, near to the different marts, groceries shops, bank, etc is now available in the location BAFAL",4,3,1,1,East-South,12 Feets
Rs 26500000,"location: KATHMANDU, CHAMATI",2.3 Anna, The Chamati house facing towards East direction with 16 ft road with 2.3 Anna land is now on sale,7,3,1,1,EAST,16 feets
Rs 39800000,"location: KATHMANDU, SANOBHARYANG",5 Anna,"A beautiful Sanobharyang Residential house facing towards west direction build with modern concept in 2075 B.S. having road 13 ft. with modular living room and modular kitchen as well that includes fall ceiling, granite, attached wardrobe and garden space is now on sale.",6,5,2,1,WEST,13 Feet
Rs 34000000,"location: LALITPUR, HATTIBAN",5 Anna," A beautiful house that actually brings positive vibes in the location Lalitpur / Dhapakhel, having road access of 13 ft and very nearby public transportations, schools, colleges, facilities of water, well, etc that is very suitable and comfortable to live house on sale.",6,5,2,1,WEST,13 Feet
Rs 32000000,"location: BHAKTAPUR, KAUSHALTAR",4 Anna 2 Daam,"The residential house facing North direction inside facilitated with modular kitchen, fall ceiling with solar pannel on the top, water well to the basement of the house & parqueting floor in room located in the Kaushaltar, Bhaktapur is now on sale.",5,4,2,2,NORTH,10 Feets
"Rs 39,500,000","location: Kathmandu, Syuchatar",4 Anna,"Brand New House at the centre of Syuchatar, Kathmandu, Nepal. Property includes of household amenities.",5,4,2,2,EAST-NORTH,13 Feets
Rs 28500000,"location: Kathmandu, Sitapaila",3 Anna 3 paisa,"The new property in Ichangunarayan, Adheshwor, Sitapaila location facing towards North-West with 13 feet's road access, public and private transportation proper area for the academy enchantable house is now on sale.",6,3,2,1,NORTH-WEST,13 Feet
Rs 26000000,"location: Kathmandu, Sitapaila",3 Anna 1 Paisa 2 Dam,"Echantable house located in Sitapaila, Adheshwor that is faclitated with public transportation is only about 1 plot  distance away from main road & also with the facilities of schools, colleges, electricity & much more.",6,3,1,1,SOUTH-WEST,13 Feet
Rs 30000000,"location: Kathmandu, Sano-Bharyang",2.3 Anna,Beautiful Surki designed house of 2.3 Anna in the Sano-Bharyang location near to ring-road with the necessary facilities is now on sale. The more details of this house is given below:,5,2,1,2,EAST,14 Feet
Rs 19500000,"location: Satungal, Kathmandu",3 Anna,The property of 2.3 Anna facing towards North/East direction is now available at Satungal area having 10 fts road facilitated by necessary needs and wants.,5,4,2,1,EAST-NORTH,10
Rs 18500000,"location: Satungal, Kathmandu",2.3 Anna,The property of 2.3 Anna facing towards North/East direction is now available at Satungal area having 10 fts road facilitated by necessary needs and wants.,5,3,1,1,NORTH/EAST,10 Feets
Rs 46500000,"location: Naicap, Kathmandu",8 Anna 1 paisa,"The perfect house facing North/East direction in Naicap, Kathmandu is now on sale which shows the 8 Anna 1 paisa land area faclitated by all the necessary things in this location.",11,5,1,2,NORTH/EAST,13 Feet
Rs 29000000,"location: Lalitpur, Bhaisepati, Nakhu",3.1 Anna,Brand new Reasonable house on Sale. Property location near to medicity School is now ready for buyer who are looking house within 3 Crore of budget limit.,5,5,1,1,EAST-NORTH,13 Feets
Rs 35000000,location: Narayntar gokarneswhor municipality,3.1 Anna,"3.5 storey building with proper structural design built in 4.2 anna touched by 12"" road on both sides of the building with 3 shopping shutters. Having 1 car and 3 motercycle parking. 200m inside from jorpati narayantar main road opposite of the lamapetrol pump.",5,5,1,1,EAST-NORTH,13 Feets
"Rs Rs .21,500,000/-","location: Lalitpur, Hattiban",3.1 Anna,"Brand New Surki Design 3 Storey on Sale on beautiful location Hattiban, lalitpur behind Little Angle School.",5,5,1,1,EAST-NORTH,13 Feets
Rs 29000000,"location: Godamchaur, Lalitpur",3.1 Anna,"Ō£ģ Óż«ÓźćÓż© Óż░ÓźŗÓżĪ Óż©Óż£Óż┐ÓżĢÓźł 13 Óż½Óż┐Óż¤Óźć Óż¼ÓżŠÓż¤Óźŗ ÓżĢÓżŠÓż»Óż« ÓżŁÓżÅÓżĢÓźŗ Ō£ģ 2/3 ÓżŚÓżŠÓżĪÓźĆ Óż¬ÓżŠÓż░ÓźŹÓżĢÓż┐ÓżéÓżŚ ÓżŚÓż░ÓźŹÓż© ÓżĖÓżĢÓż┐Óż©Óźć , Óż¼ÓżŠÓżłÓżĢÓż╣Óż░Óźü Óż¬Óż©Óż┐ Óż¬ÓżŠÓż░ÓźŹÓżĢÓż┐ÓżéÓżŚ ÓżŚÓż░ÓźŹÓż© ÓżĖÓżĢÓż┐Óż©Óźć ! Ō£ģ ÓżĄÓż┐Óż╣ÓżŠÓż© Óż”ÓźćÓż¢Óż┐ Óż¼ÓźćÓż▓ÓźüÓżĢÓżŠ ÓżĖÓż«ÓźŹÓż« ÓżśÓżŠÓż« Óż▓ÓżŠÓżŚÓźŹÓż©Óźć, ÓżĀÓźłÓż¼ Óż¬ÓżŠÓż©Óż┐ Óż¤ÓźŹÓż»ÓżŠÓżéÓżĢÓźĆ Óż©Óż£Óż┐ÓżĢ Ō£ģ Óż¢ÓżŠÓż©ÓźćÓż¬ÓżŠÓż©ÓźĆ, ÓżóÓż▓ , ÓżćÓż©ÓżŠÓż░, 13 Óż½ÓźéÓż¤Óźć Óż░ÓźŗÓżĪ Óż«ÓżŠ ÓżģÓżĄÓżĖÓźŹÓżźÓźĆÓżż ÓżśÓż░ Ō£ģ Modern Flat System Ready to Move House ! Ō£ģ ÓżĖÓźŹÓżĢÓźüÓż▓, ÓżĖÓźŹÓż¤ÓźŗÓż░, Óż¬ÓźüÓż▓Óż┐ÓżĖ ÓżÜÓźīÓżĢÓźĆ, Óż░ÓżŠÓż«ÓźŹÓż░Óźŗ Óż░ÓźćÓżĖÓźŹÓż¤ÓźŹÓż░Óźŗ Óż©Óż£Óż┐ÓżĢÓźł ÓżŁÓżÅÓżĢÓźŗ ÓżśÓż░ Ō£ģ ÓżóÓż▓ ,Óż¬ÓżŠÓż©Óż┐, Óż¼ÓżżÓźŹÓżżÓż┐ ÓżĖÓż«ÓźŹÓż¬ÓźéÓż░ÓźŹÓżŻ ÓżĖÓźüÓż¼Óż┐Óż¦ÓżŠ ÓżŁÓżÅÓżĢÓźŗ Ō£ģ ÓżĖÓżŠÓż░ÓźŹÓż¼Óż£ÓżŠÓż©Óż┐ÓżĢ Óż»ÓżŠÓżżÓżŠÓż»ÓżŠÓżżÓżĢÓźŗ ÓżĖÓźüÓżĄÓż┐Óż¦ÓżŠ ÓżŁÓżÅÓżĢÓźŗ Ō£ģ Óż¼Óż£ÓżŠÓż░ ÓżĄÓźŹÓż»ÓżĄÓżĖÓźŹÓżźÓżŠÓż¬Óż© ÓżĢÓźŗ ÓżĖÓźüÓżĄÓż┐Óż¦ÓżŠ Ō£ģ 12/12 ÓżĢÓźŗ Óż¬Óż┐Óż▓ÓźŹÓż▓Óż░ 9 ÓżćÓż×ÓźŹÓżÜÓżĢÓźŗ ÓżĄÓżŠÓż▓ Ō£ģ ÓżĖÓźŹÓżĢÓźüÓż▓, ÓżĢÓż▓ÓźćÓż£, Óż¼ÓźłÓżéÓżĢ, ÓżĖÓż╣ÓżĢÓżŠÓż░ÓźĆ ÓżżÓżźÓżŠ Óż╣ÓżĖÓźŹÓż¬Óż┐Óż¤Óż▓ ÓżåÓż”Óż┐ ÓżĖÓżéÓżĖÓźŹÓżźÓżŠÓżĢÓźŗ",5,5,1,1,EAST-NORTH,13 Feets
"Rs 2,25,00,000/-","location: Kathmandu,Sano Bharayang",3 Anna,"Kathmandu,Nagarjung and Tinghare have a new concept home for sale. This is a 4 bhk semi furnished home in one of the nicest areas of Kathmandu. The project has a view of the Himalayas and Kathmandu that will be breath taking when you step inside the house.",4,4,1,1,NORTH,13 Feets
"Rs NPR 30,000,000/-","location: Kathmandu,Raniban",3 Anna," The Raniban Modern Home is a two-storey structure designed with a balanced design and plenty of natural light. The home’s modern spaciousness and functionality, along with its high-quality finishes, make it an excellent choice for any couple or family looking for their new home",4,4,1,1,NORTH,13 Feets
Rs 28500000,"location: Kathmandu, Sitapaila",3.2 Anna,"Sitapaila House is a two and half floor home in the quiet neighborhood of Kumari mandir, Kathmandu,nagarjung-4 is on sale. The property is a short walk away from the sitapaila Ring Road, and close to public transportation links.",5,3,2,2,WEST,13 Feets
Rs 55000000,"location: Saranpur, Sitapaila, Kathmandu",9 Anna,"This is a 5 bhk house on 9 Anna land space and is in a prominent location with large area of land. It has 5 well equipped bhk's with attached washrooms. The property is located in Saranpur, Sitapaila, Kathmandu, Nepal close to all amenities such as hospital and banks.",5,4,1,2,NORTH,16 feets
Rs 40000000,"location: Kathmandu, Bafal",9 Anna,Well developed house located at kohinoor housing situated on prime loaction on Kthmandu is available for Sale.,5,4,1,2,NORTH,16 feets
Rs 75000000,"location: Kathmandu,Kuleshwor",7 Aana,"7 Anna land facind towards north and touched with main road is now available for sale in Kathmandu, Kuleshwor Awas area.",7,5,2,2,NORTH,22 Feets
Rs 27000000,"location: Kathmandu, Chandagiri, Khahare",5.1 Anna," Are you looking for a house in Kathmandu, Nepal, Chandragiri? Then look no further because ready to move is here. We are excited to show you the new home because this is a very good neighborhood with great schools and many other amenities. The best part is that it already has all the facilities included, making it much easier for you to just start living there.",6,5,2,2,NORTH,13 Feets
Rs 60000000,"location: Lalitpur, Bhaisepati, Sainbu",8 Anna," Bhaisepati Residential Bungalow at lalitpur, Sainbu with 5 Bedroom space with garden space and parking space on the height with the view of lalitpur is now for sale. Please contact for any further details.",6,4,1,1,EAST-NORTH,10 Feets
Rs 37500000,"location: Lalitpur, Bhaisepati",3.3 ANna,"Brand New Full facilitated Morden design Residential Home on Sale at Lalitpur, Bhaisepati, Nepal available for you yo buy now.",4,5,1,1,SOUTH-WEST,14 Feets
Rs 28500000,"location: Lalitpur, Imadol, Cozy Homes",3 Anna 1 Dam,Imadol Brand New Residential home on lalitpur now available for Sale.,5,3,2,2,EAST-SOUTH,13 Feets
"Rs 6 ,0000,000","location: Kathmandu, Sitapaila",8 Anna,"For your family stay this property might be the one to live together happily. Located at Nepal, Kathmandu, Sitapaila house is well maintained with full of oppourtunity . Now available for sale on Gharsansar Real Estate in Nepal.",5,5,3,2,SOUTH,16 feets
Rs 31000000,"location: Kathmandu, Nagarjung-3, Buddha Chowk",3 Anna,Brand New Spacious home for Sale at peaceful location of Buddha Chowk.,8,4,2,1,EAST,13 Feets
Rs 27500000,"location: Karhmandu, Nagarjung-2",2.2 Anna,"Brand New Bungalow on Kathmandu, Nagarjung-2, Raichowk is ready for Sale.House is ready to move condition.",4,4,1,1,EAST,13 Feets
Rs 28500000,"location: Kathmandu, Bafal",3 Anna,"It's your time to buy a new house at bafal. The location is perfect, near to city area with ample of amenities of water, electricity, road and daily grocery shops. It built with the professional team of engineers and architects.",5,3,1,2,WEST,12
"Rs 22,000,000","location: Kathmandu, Sitapaila",3 Anna,"New house built with long lasting and duriable materials. With the perfect view of kathmandu valley, situated near some of the best schools & colleges in Nepal. It has everything you need to make your retirement years pleasent, comfortable and secure.",6,3,1,2,NORTH,16 Feets
Rs 20500000,"location: Kathmndu, Nagarjung-8",3 Anna,"Built on 2078 B.S. on Kathmandu, Nagarjung, Bhimdhunga house is ready for sale.",6,3,2,2,NORTH,13 Feets
Rs 1.8 Crore,"location: Kathmandu, Nagarjung, Towkhel",0.2.2.2,"Newly built house at Kathmandu, Nagarjung, Towkhel for sale.",4,2,1,2,SOUTH,16 Feets
Rs 35 Lakh Per Anna,"location: Kathmandu, Sitapaila-5,Sankata",3-5 Anna,Sitapaila 6 Plot land available for Sale,4,2,1,2,East-South,13 Feets
Rs Starting from 24 Lakh per Anna,"location: Kathmandu,Nagajung-7, Bhimdhunga",3-8 Anna,Plotting Land Feature,4,2,1,2,East-South,13 Feets
Rs 39000000,"location: Lalitpur, Nakhu",0.5.2.1,"Nakhu, Bhaisepati Residential House for Sale.",4,3,1,1,NORTH/EAST,13 Feets
"Rs 47,000,000","location: Kathmandu, Nagarjung-3, Ekdhara",6 Anna,"Built on 6 Anna land facing east Ekdhara, Nagarjung-3 House listed for Sale.",9,4,3,3,EAST,13 Feets
Rs 5 Crore,"location: Kathmandu, Sitapaila",7.2 Anna,"Uniquely designed house with spacious hall, kitchen, balcony and full of light inside. It has Spacious garden in Left and greenery in backyard where resident can spend time with family and friends. Out of four bedrooms, three are spacious and has attached bathroom facility. It has car parking space inside the house.It is situated at center of the colony, very near to school, park, market, main road and hospital in the  Sita colony, Kathmandu, Sitapaila.",5,5,2,1,EAST-NORTH,16 feets
"Rs 37,500,000","location: Kathmandu, Sitapaila",5 Anna,"Beautiful banglow facing south east is for sale. It is located in the locality of a developed area and the neighborhood is very peaceful. The house is well constructed and quite spacious for a big family. The rooms are built on a good size and the interiors are very beautiful. The flooring of the rooms is polished with high quality granite and marbles. The doors have been crafted out of superb teak wood, with fine carvings all over it.the facade of the building makes it look even more astonishing and elegant. Apart from all these features, the house also has a bath attached to masterbed room which also has elegant fittings. In addition to it, there are 2 balconies overlooking the main road which will be ideal for you to relax by enjoying your evening cup of tea gazing at the beautiful sunset. There are many more parts that would entice you to purchase this marvelous property upon visiting it personally.",4,4,1,1,South-EAST,16 feets
Rs 24000000,"location: Kathmandu, Ramkot, Nagarjung-6",3.3.3 AANA,,4,3,2,1,SOUTH-WEST,13 Feet
Rs 29500000,"location: Kathmandu, Dallu",3 Anna,Ready to move Semi-Bungalow house on Dallu Area is now ready for Sale.,4,3,1,1,NORTH,13 Feets
Rs 125000000,"location: Kathmandu, Budhanilkantha, Bhangal",20 Anna,,4,5,1,1,EAST,13 Feet
Rs 33500000,"location: Kathmandu, Sita-paila",4.5 anna,,6,5,1,1,EAST-NORTH,22 Feets
Rs 4.25 Crore,"location: Kathmandu, Raniban, Radha Krishna",0.4.2.1,Just Built New Semi-Commercial Home is for Sale with Gharsansar Real Estate.,6,4,2,2,South-West,20 Feets
Rs 4.25 Crore,"location: Kathmandu,Raniban, Kharibot",4.3 Anna,"Beautifully developed New Home is under for Sale at Kathmandu, Nagarjung, Kharibot.",3,3,1,1,East,20 Feets
Rs 29000000,"location: Kathmandu, Sitapaila-5",3.5 anna,,5,4,2,2,EAST,13 Feet
Rs 28500000,"location: Kathmandu, Bafal",4 Anna,,5,3,2,2,SOUTH-WEST,13 Feet
Rs 18500000,"location: Kathmandu, Lolang, Aryatar",4.1.2 Anna,,6,3,3,2,SOUTH-WEST,10 Feets
Rs 28000000,"location: Kathmandu, Thulo-bharyang, Halchowk",3 Anna,,4,3,2,2,EAST,13 Feet
Rs 32500000,"location: Kathmandu, Thulo Bharayang",3.2 Anna,"Brand New house for Sale at Kathmandu, Thado Bharayaang on Sale.",5,4,2,2,SOUTH,10 Feets
Rs 30500000,"location: Kathmandu, Ramkot",0.4.0.2 Anna,"House on sale at Kathmandu, Sitapaila, Ramkot.",6,4,2,2,EAST-NORTH,26 Feet's
Rs 36000000,"location: Kathmandu, Tarkeshwor, Sangam Tole",3.2 Anna,"Brand New House for Sale at Kathmandu, Tarkeshwor, Sangam Tole.",6,4,2,2,NORTH-WEST,20 feets
Rs 26000000,"location: Kathmandu, Sitapaila, Adeshwor",3 Anna,"Brand New ready to move 2.5 Storeid home for Sale at Kathmandu, Sitapaila-5.",4,4,1,1,EAST,13 Feet
Rs 26500000,"location: Kathmandu, Sitapaila, Adeshwor",4 Anna," Residential Banglow at Kathmandu, Adeshwor Area listed for sale on Gharsansar Real Estate Pvt.Ltd.",5,4,1,1,EAST,15 Feets
Rs 43000000,"location: Kathmandu, Sano bharyang",5 Anna,"House for Sale at Kathmandu, Sano bharayang.",8,5,2,2,SOUTH-WEST,16 feets
